Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
EXCHANGE,Current,2021-12-21 15:33:26,2021-12-21 15:33:26,Exchanged to EUR,981.91,0.00,EUR,COMPLETED,981.91
CARD_PAYMENT,Current,2021-12-21 15:47:40,2021-12-21 15:47:40,Microsoft*store,0.00,0.00,EUR,COMPLETED,981.91
CARD_PAYMENT,Current,2021-12-21 15:49:52,2021-12-21 15:49:52,Microsoft*store,0.00,0.00,EUR,COMPLETED,981.91
CARD_PAYMENT,Current,2021-12-26 17:09:45,2021-12-28 05:20:22,Fournil St Andr,-2.85,0.00,EUR,COMPLETED,979.06
CARD_PAYMENT,Current,2021-12-27 11:22:01,2021-12-28 05:49:14,Carrefour Chatea,-55.68,0.00,EUR,COMPLETED,923.38
CARD_REFUND,Current,2021-12-28 00:00:00,2021-12-28 05:49:14,Refund from Carrefour Chatea,44.49,0.00,EUR,COMPLETED,967.87
CARD_PAYMENT,Current,2021-12-27 11:05:55,2021-12-28 12:46:56,5 A Sec,-32.75,0.00,EUR,COMPLETED,935.12
TOPUP,Current,2021-12-28 16:54:40,2021-12-28 16:54:43,Top-Up by *5577,10.00,0.00,EUR,COMPLETED,945.12
TOPUP,Current,2021-12-28 16:55:50,2021-12-28 16:56:28,Card Top-Up,200.00,0.00,EUR,COMPLETED,1145.12
CARD_PAYMENT,Current,2021-12-28 16:36:35,2021-12-29 04:32:15,Boutique Victor,-105.92,0.00,EUR,COMPLETED,1039.20
CARD_PAYMENT,Current,2021-12-28 18:09:14,2021-12-29 17:05:34,Barbe De Papa,-44.00,0.00,EUR,COMPLETED,995.20
CARD_PAYMENT,Current,2021-12-30 12:01:37,2021-12-31 05:07:45,Pharmacie De La,-25.05,0.00,EUR,COMPLETED,970.15
CARD_PAYMENT,Current,2021-12-30 14:11:20,2021-12-31 12:09:02,Sncf Internet,-2.00,0.00,EUR,COMPLETED,968.15
CARD_PAYMENT,Current,2021-12-30 17:40:56,2021-12-31 12:13:02,La Foirfouille,-11.97,0.00,EUR,COMPLETED,956.18
CARD_PAYMENT,Current,2021-12-30 13:16:58,2022-01-01 04:52:54,Carrefour Cit,-3.10,0.00,EUR,COMPLETED,953.08
CARD_PAYMENT,Current,2021-12-30 11:54:06,2022-01-01 04:52:54,Carrefour Cit,-6.45,0.00,EUR,COMPLETED,946.63
CARD_PAYMENT,Current,2022-01-01 13:18:41,2022-01-03 12:32:42,Carrefour Cit,-4.71,0.00,EUR,COMPLETED,941.92
CARD_PAYMENT,Current,2022-01-12 13:13:44,2022-01-12 13:13:44,Microsoft*store,0.00,0.00,EUR,COMPLETED,941.92
TOPUP,Current,2022-01-18 07:30:21,2022-01-18 07:30:22,Payment from M. Corentin Bourdeix,2500.00,0.00,EUR,COMPLETED,3441.92
CARD_PAYMENT,Current,2022-01-21 05:38:54,2022-01-21 10:46:03,netflix.com,-13.49,0.00,EUR,COMPLETED,3428.43
CARD_PAYMENT,Current,2022-01-21 04:09:59,2022-01-22 02:32:14,Microsoft*subscription,-9.99,0.00,EUR,COMPLETED,3418.44
CARD_PAYMENT,Current,2022-01-24 17:30:23,2022-01-25 02:26:06,Greenmangaming Ltd,-12.74,0.00,EUR,COMPLETED,3405.70
CARD_PAYMENT,Current,2022-01-25 08:25:50,2022-01-25 18:20:03,Greenmangaming Ltd,-41.99,0.00,EUR,COMPLETED,3363.71
CARD_PAYMENT,Current,2022-02-06 15:09:58,2022-02-06 15:09:58,Epc*epic Games Store,0.00,0.00,EUR,COMPLETED,3363.71
CARD_PAYMENT,Current,2022-02-06 15:09:59,,Epc*epic Games Store,-29.99,0.00,EUR,PENDING,
