Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
TOPUP,Current,2021-07-18 18:07:38,2021-07-18 18:07:50,Card Top-Up,38.99,0.00,CHF,COMPLETED,38.99
FEE,Current,2021-07-18 18:07:50,2021-07-18 18:07:50,Card Delivery Fee,-8.99,0.00,CHF,COMPLETED,30.00
TRANSFER,Current,2021-07-19 20:50:21,2021-07-19 20:50:21,To Bérénice Gafner,-13.58,0.00,CHF,COMPLETED,16.42
TOPUP,Current,2021-07-24 13:21:00,2021-07-24 13:21:42,Top-Up by *5577,20.00,0.00,CHF,COMPLETED,36.42
CARD_PAYMENT,Current,2021-07-24 13:31:57,2021-07-25 23:36:24,Migros Voi Cirque,-23.90,0.00,CHF,COMPLETED,12.52
CARD_PAYMENT,Current,2021-07-26 09:41:15,2021-07-27 04:38:38,Denner Discount 1750 V,-4.35,0.00,CHF,COMPLETED,8.17
CARD_PAYMENT,Current,2021-07-27 07:22:55,2021-07-28 03:01:56,Chez Lolo,-1.00,0.00,CHF,COMPLETED,7.17
TOPUP,Current,2021-08-14 15:10:44,2021-08-14 15:11:23,Top-Up by *5577,20.00,0.00,CHF,COMPLETED,27.17
CARD_PAYMENT,Current,2021-08-14 15:18:24,2021-08-15 23:25:52,Denner Discount 1750 V,-11.80,0.00,CHF,COMPLETED,15.37
CARD_PAYMENT,Current,2021-08-16 07:10:56,2021-08-17 02:55:52,Migros Voi Cirque,-12.10,0.00,CHF,COMPLETED,3.27
TRANSFER,Current,2021-10-02 20:43:38,2021-10-02 20:43:38,From Bérénice Gafner,20.00,0.00,CHF,COMPLETED,23.27
TOPUP,Current,2021-12-21 15:31:35,2021-12-21 15:32:03,Top-Up by *5577,1000.00,0.00,CHF,COMPLETED,1023.27
EXCHANGE,Current,2021-12-21 15:33:26,2021-12-21 15:33:26,Exchanged to EUR,-1023.27,0.00,CHF,COMPLETED,0.00
EXCHANGE,Current,2022-06-04 02:31:01,2022-06-04 02:31:01,Exchanged to CHF,8.80,0.00,CHF,COMPLETED,8.80
TRANSFER,Current,2022-06-04 02:31:19,2022-06-04 02:31:19,To Patrick Zeller,-8.80,0.00,CHF,COMPLETED,0.00
TOPUP,Current,2022-06-10 11:18:28,2022-06-10 11:19:18,Top-Up by *5577,1000.00,0.00,CHF,COMPLETED,1000.00
TOPUP,Current,2022-06-19 12:27:50,2022-06-19 12:28:41,Top-Up by *5577,1000.00,0.00,CHF,COMPLETED,2000.00
EXCHANGE,Current,2022-06-19 14:15:07,2022-06-19 14:15:07,Exchanged to SGD,-250.00,0.00,CHF,COMPLETED,1750.00
EXCHANGE,Current,2022-06-20 03:24:01,2022-06-20 03:24:01,Exchanged to SGD,-1001.00,0.00,CHF,COMPLETED,749.00
